Name,Website,Industry,Company Size,Headquarters,Type,Founded,Specialties,About Us,Error
NDC Asset Management,http://ndcassetmanagement.com/,Real Estate,11-50 employees,"Pittsburgh, Pennsylvania",Public Company,1969,N/A,"NDC Asset Management has provided high level real estate property management services to a wide range of satisfied clients since 1969 and takes great pride in the long-term business relationships that have been developed. Our team offers a total commitment to our clients, a remarkable depth of property management talent and experience, impeccable integrity, personalized service, and a common sense approach.

Our diversified multi-state portfolio includes apartment complexes, condominiums, townhomes, single family homes, commercial buildings and shopping centers. We currently manage nearly 150 properties including over 6,000 multi-family units and a variety of office and retail space in five states and the District of Columbia. We have extensive experience in the management of both conventional and affordable housing under a variety of state and federal programs.

As property owners ourselves, we understand the need to mitigate risk and maximize returns, while serving as responsible stewards to your property. Our experienced accounting staff provides comprehensive financial reports, including interpretative commentary, on a monthly basis. Our regional property managers provide general partners and third-party clients with value-enhancing information to allow the ownership to set both short- and long-term goals, and make informed decisions that serve to improve the overall value and efficiency of the property. Our senior management staff maintains a direct involvement in each of our properties and provides the guidance and tools to enable the management team, the on-site personnel, and each property to excel. We have the training and experience to address everything from physical repairs and improvements to capital replacement planning, financial accounting, regulatory compliance, marketing, and a myriad of other property management activities. The result is well-maintained properties and regular on-time reporting. Our properties are consistently the proud recipients of numerous apartment excellence awards.",
"Allied Insurance Managers, Inc.",http://www.alliedinsmgr.com,Insurance,11-50 employees,"Rochester Hills, MI",Privately Held,1987,"Business Insurance, Auto Insurance, Group Benefits, Life Insurance, Fire Suppression Contractors Liability Insurance, Specialty Contractors WC Dividend Program, Health Insurance, Home Insurance, Workers Compensation Insurance, Professional Liability Insurance, Hospitality Insurance, Liquor Liability Insurance, and Cyber Liability","Allied Insurance Managers, Inc. has provided insurance and risk management solutions to businesses since 1987. As an independent agency, we represent a broad spectrum of national, regional and domestic insurance companies. This allows us to find your business the most comprehensive, cost-effective insurance solutions today and in the future.

Business Insurance:
Property, General liability, Commercial fleet auto, Inland marine, Employee dishonesty, Equipment breakdown, Workers compensation, Commercial umbrella

Health & Life Insurance:
Group health, Group life, Group dental, Group disability, Long-term care, Key Man Insurance, Individual Term & Whole Life Insurance.

Personal Insurance:
Auto, Home, Watercraft, Recreational vehicles, Motorcycles, Personal umbrella, Jewelry and furs, Antiques     

Bonds:
Contactor bonds,  Bid bonds, Performance bonds, Municipal bonds, All other           

Specialty Insurance:
Aviation, Builders Risk, Professional liability, Errors & Omissions, Pollution, Employment practices, Directors and officers",
EverLine Coatings and Services - USA,https://everlinecoatings.com/us,Facilities Services,11-50 employees,"Houston, Texas",Privately Held,N/A,N/A,"EverLine Coatings USA is a line striping and pavement maintenance company, that helps property managers keep their parking lots safe and appealing with professional line painting and pavement maintenance services.",
Fortress PropTech,https://fortresstech.io,Software Development,11-50 employees,"Nashville, TN",Privately Held,2017,"Property Management Software, PropTech, Multifamily, Commercial Real Estate, Property Management Operations, Rent Roll, and Real Estate Software","From prospects to residents, websites to owner dashboards, rent rolls to delinquency: FORTRESS is the core property management operations platform that actually works. In under 5 clicks, track and analyze everything you need to know about your investments, including income, occupancy, rent trends, recommended smart prices, renewals, and more. Fortress revolutionizes property management by automating repetitive tasks, optimizing workflows, and empowering your property managers to prioritize community satisfaction and drive exponential growth in your investment portfolios.

Are you committed to another platform? We’ll transfer your information and onboard you—we offer a less than 48-hour conversion guarantee.",
Scenic Stays,http://myscenicstays.com,Hospitality,11-50 employees,"Santa Rosa Beach, Florida",Partnership,2018,"30A Experiences, Miramar Beach Experiences, Crystal Beach Experiences, Inlet Beach Experiences, Tourism, Hospitality, Food and Drink, Concierge Services, Revenue Management, Operations, Travel, and Beach Vacations","Our mission is to share Scenic Stays Hospitality through consistent quality delivery.

Scenic Stays, founded in 2018, has the pleasure of delivering memorable experiences to guests and owners of Northwest Florida’s Scenic highway 30A properties from Inlet Beach to Crystal Beach, additionally specializing in Miramar Beach and Destin vacation rentals, including SunDestin Beach Resort. We strive to provide a delightful rental experience for all those we have the pleasure of working with.",
All County® Property Management Franchise Corp,http://allcountyfranchise.com/,Real Estate,11-50 employees,"St. Petersburg, FL",Privately Held,1990,"management, leadership, training, networking, customer service, sales, marketing, strategic planning, and negotiation","We are in the property management business. Long-term residential property management is a unique industry and one that can be very rewarding. As property managers, we provide relevant and valuable services to property owners. It’s our job to maintain locations, openly communicate with tenants and take on the daily responsibilities of ownership.

The success of All County® starts with our property management expertise and our ability to consistently create strong, long-lasting relationships with our clients. Housing is a common necessity, and our role in the housing market means our service is always in demand. Our clientele varies greatly – from banks and realtors to individual property owners. This business has no ceiling and the size of our client base can be as big as you make it.

Our experienced staff offers over 30 years of experience in the property management industry. All County is providing franchisees with the opportunity to work under the reputation of a well-established firm – one that is licensed, insured and an established leader in the property management industry.

Become an All County Franchisee and gain the confidence and ability to own a business that is prepared for success. You can trust that you will be supported by one of the strongest teams in the industry, giving you the unique opportunity to differentiate yourself from the intense competition. We are committed to setting high standards and creating an established name in the property management industry, which translates to immediate success for our franchisees.",
"The Loughlin Management Group, Inc.",http://www.loughlinmanagement.com,Executive Offices,11-50 employees,N/A,Privately Held,N/A,N/A,Commercial Property Management,
"Inteum Company, LLC",http://www.inteum.com,Software Development,11-50 employees,"Kirkland, Washington",Privately Held,1992,Web-based  IP management system and Technology transfer management,"Inteum Company develops the benchmark intellectual property management software solution, Inteum.  Founded in 1992, we have led the industry for over two decades. We design our software for technology managers, IP administrators, contract managers and technology scouts to best manage their IP and licensing operations. 

Inteum provides state-of-the-art tools for managing the innovations, relationships, and transactions that carry ideas forward to commercial realization. We call this process the innovation supply chain.

Our customers include universities, research institutions, federal labs, corporations, and startups in 27 countries.  With over 400 installations around the globe, we have an unrivaled understanding of our clients’ needs. We can customize our commercial off-the-shelf solution to support any sized office. 

Management has over a century of management level experience in the technology transfer field. 

Available as a fully hosted SaaS solution or locally installed.",
"Sungate Management, Inc.",http://www.sungatemanagement.net,Real Estate,11-50 employees,N/A,Privately Held,2002,Working with Distressed Properties and Improving income and Reducing Expenses.,". Sungate Management’s team and staff will strive to give you the most professional service available. Our commitment is to always do what is best for your investment property. That commitment comes with a minimum of 20 years of property management experience for all of our Regional Managers and Trainers. Sungate Management was founded in 2002 by Roy and Luke Jackson and has since gained a reputation for turning around distressed properties. Sungate Management is also well known for increasing income and reducing expenses on all properties under our control. Sungate Management is active member of IREM (Institute of Real Estate Management) and all our Regional Managers have completed the Accredited Residential Management classes.
We know exactly what it takes to get, screen, and keep great employees and residents. Also, we understand how hard you have worked to invest in this property, and we will work hard to maximize your profit potential.",
Merit Hill Capital LP,http://www.merithillcapital.com,Real Estate,11-50 employees,"Brooklyn, New York",Privately Held,2016,N/A,"As an experienced owner and operator in the self-storage industry, Merit Hill Capital works to aggregate one-off or small portfolio investments in private market transactions to create a diversified portfolio of assets. Merit Hill engages third-party property managers, including some of the largest publicly-traded self-storage REITs, to manage daily operations at the property level. Further, we employ a hands-on “manager of managers” approach to actively oversee each manager and identify opportunities to maximize net operating income through selective improvement projects.",
Accurate Property Restoration,http://www.accuratepropertyrestoration.com,Construction,11-50 employees,"Torrance, California",Privately Held,1987,"Water Damage, Fire Restoration, Mold Remdiation, Excavation, Contents Restoration, Emergency Response, Vehicle Building Impact Repair, and Contents Packout & Storage","Dear Insurance Professionals,

Accurate Property Restoration wants to help you be the best and reach your customer service goals by providing the level of service you expect and your clients deserve. Accurate Property Restoration is a licensed General Building and Engineering contractor, providing “Full Service” restoration and repair for residential and commercial properties. We are experts in Water Damage Restoration, Mold Remediation, Fire Restoration, Smoke & Odor Removal, Wind or Earthquake damage, Vehicular Impact to building and Vandalism repair, Contents Cleaning - Pack out & Storage with 24 Hour Emergency Response. We also offer excavation and demolition services along with engineering and environmental investigative and consulting services.

Why Accurate: We customize our services to meet your needs, guarantee exceptional service and provide quality craftsmanship. We are a preferred vendor for numerous national carriers and have favorable relationships with multiple property managers, agents, adjusters and insurance carriers.

What We Do Best: We have been a top-rated service provider in our industry since 1987. We eliminate the need and time it takes to get multiple estimates by agreeing to an approved scope of work at a fair price, communicating often with claims personnel. When working with Accurate, there are no hidden surprises. 

Professional Affiliations: Alacrity, Contractor Connection, Sedgwick Solutions Program, Core-Encore Repair Program, as well as numerous national insurance companies and property management organizations. We are members of IIABA and certified by IICRC, EPA, AIAQ, Restoration Industry Association, Building Industry Association of Southern California, Property Loss Research Bureau and World Floor Covering Association. We also hold a certification in Infrared Technology by the Building Science Institute.

Accurate Property Restoration is reliable, provides superior quality craftsmanship, and higher level of service.",
Younity,http://younity.io,Telecommunications,11-50 employees,"New York, NY",Privately Held,2018,N/A,"Younity is a wireless internet platform reinventing the WiFi experience in commercial and residential real estate. We offer instant, property-wide internet access, with dedicated and proactive service, giving property managers and owners an invaluable amenity  in this competitive market. 

Younity’s SaaS platform sits on top of wireless hardware and provides maintenance automation, data collection and optimization, while acting as a crossroads for all connected devices including monitoring and securing the critical digital  infrastructure. 

We also provide fast, responsive, round-the-clock customer support, giving our customers at every level -- tenants, owners, and managers, much needed peace-of-mind.",
Westlake Realty Group,http://www.westlake-realty.com,Real Estate,11-50 employees,"San Mateo, CA",Privately Held,1972,"Real Estate, Property Management, Asset Management, and Acquisitions","Westlake was founded in 1972 and is a private family-owned real estate business based in San Mateo, California. Since its founding, Westlake has developed a diverse portfolio of commercial office, retail, multi-family properties throughout the San Francisco Bay Area and Western Region.  Today, it is engaged in property management, asset management, and development.

Westlake Realty Group, Inc. provides integrated property management services for its owned commercial property portfolio and manages third party property managers for its residential portfolio. Westlake Urban, the Company’s development arm, has a pipeline of transit oriented, mixed-use commercial and residential and ownership residential projects totaling over $500 million in value.",
UgMO Technologies,http://www.ugmo.com,Renewable Energy Semiconductor Manufacturing,11-50 employees,"King of Prussia, PA",Privately Held,2005,"Water Conservation, Wireless Underground Communication, Underground Monitoring, Environmental Monitoring, Soil-moisture Balance, and Adaptive Watering Algorithms","UgMO™ is the pioneer in rootzone monitoring and management. Its unique blend of patented sensor technology, underground wireless communication, advanced web applications and agronomy expertise offers state-of-the-art capabilities to irrigation contractors,  golf course superintendents, sport turf managers, landscapers, farmers, professional property managers and environmental stewards. UgMO™ Saves you water, resources and money.",
"Dwellwell Analytics, Inc.",http://www.dwellwell.ai,IT Services and IT Consulting,11-50 employees,"Bethesda, Maryland",Privately Held,2018,"smart home technology, proptech, residential maintenance, IoT, SFR, multifamily housing, BTR, CREtech, REtech, AI, SaaS, property maintenance, rental real estate, CRE, and Single Family Rental Properties","Dwellwell is the first comprehensive Check Engine Light for the Home(TM). The powerful technology diagnoses and alerts residential property owners and managers to irregularities in the performance of core building systems, like HVAC, electrical, plumbing, and even environmental concerns. The SaaS platform provides early detection of issues before they lead to system failure or devolve to catastrophic faults. Built by a team of seasoned tech entrepreneurs, Dwellwell proactively diagnoses issues across an entire building, helping large-scale, single-family rental and multifamily owners streamline maintenance, generate cost savings, and improve resident comfort.",
Gather Vacations,https://www.gathervacations.com,Hospitality,11-50 employees,N/A,Privately Held,2022,"Property Management, Vacation Rentals, Hospitality, and Luxury","We’re an innovative and ambitious team  that is rethinking the vacation rental experience. We offer the best of both worlds: a local-centric approach to home care and guest experiences, with the power, technology, and resources of a 
national brand.

Our Mission: Help Property Managers thrive. 

Our Vision: Gather the world's best Property Managers under one roof. 

Professional property managers are the heart and soul of our business, and our connection to the local community. By supporting our property managers in building their business, we unlock their potential and empower them to provide exceptional experiences for our owners and guests.

Founded in Hawaii in 2022, our team now spans the globe and brings together professional property managers, owners, broker-partners and guests to responsibly manage vacation rentals in a way that benefits local communities.",
Asterra,http://www.asterra.com,Real Estate,11-50 employees,"Austin, Texas",Privately Held,2008,"Tenant Representation, Project Leasing, Property Management, Real Estate Sales, Construction Management, Project Marketing, Real Estate Acquisitions, and Relocation Services","Asterra is a full service real estate brokerage firm providing professional real estate services throughout Central Texas. Our team of highly knowledgeable and experienced brokers, attorneys, property managers, building engineers, accountants, and construction managers provide an array of valuable services to the commercial and residential real estate sectors. These services include tenant and landlord representation, property and construction management, investment sales, and development consulting, just to name a few. Every day, our professionals provide sound and savvy advice; craft solutions to unique and complex problems; and deliver goal oriented results, all while serving the best interests of our clients in a honest and professional manner. We are passionate about what we do, and it shows.
 
At Asterra Properties, it is our dedication to clients that defines us and our commitment to the successes of those clients that drives us. Let us show you the resources and dedication necessary for your success; let us show you the Advantages of working with Asterra.",
Red Rock Realty Group,http://www.redrockrg.com,Real Estate,11-50 employees,"Birmingham, Alabama",Privately Held,2010,"Property Management, Commercial Real Estate, Single Family Homes, and Multi-Family Housing","Red Rock Realty Group, Inc., is  a full service commercial real estate company based in Birmingham, AL. Red Rock Realty Group was founded in 2010 from the merger of Property Managers, Inc. (founded 1934) and Carruthers Real Estate Company, LLC (founded 2002). Boasting over 84 years of real estate experience, we manage over 2,200 apartment units and single family homes, providing residential leasing and property management services to our clients. We also handle the property management of approximately 1M SF of commercial real estate. At Red Rock Realty Group, we provide our clients with personalized service backed by our 25-plus member team. Please contact one of our team members to discuss your commercial real estate needs.",
"Eden Crest Vacation Rentals, Inc.",http://www.edencrest.net,Hospitality,11-50 employees,N/A,Privately Held,N/A,"Vacation Rentals, Cabin rentals, Chalets, Pigeon Forge Cabins, Gatlinburg Cabins, Tennessee Vacation Planning, Vacation Packages, Smoky Mountain Log Home Rentals, and Family Vacations","Eden Crest Vacation Rentals invites you to experience the luxury of the Great Smoky Mountains of Tennessee in one of our many Pigeon Forge and Gatlinburg cabin rentals. Enjoy the finest amenities, including home theaters, flat screen LCD and Plasma TV's, video games, pool tables, air hockey, foosball, saunas, hot tubs, bedside Jacuzzis, free internet access, free long distance calling and more!

With cabin sizes ranging from cozy 1 bedroom cabins, perfect for romantic getaways, to larger cabins that can accommodate over 25 people at a time, Eden Crest Vacation Rentals has something for everyone! We even offer full concierge services to help you create the most memorable and unique vacation with gift baskets, in-cabin massages, attraction tickets, and many other services. 

Located just miles of the attractions of Pigeon Forge and Gatlinburg, TN; including The Smoky Mountain National Park, dozens of live entertainment theaters, restaurants, numerous shopping outlets, and area crafters, Eden Crest Vacation Rentals is a fantastic vacation spot for anyone wishing to tour the Smokies. 

Our range of area attractions, concierge services and upscale mountain surroundings are just what you need to spend your Tennessee vacation in style and luxury, so visit us online at www.edencrest.net or call Eden Crest Vacation Rentals today!",
"Levy Realty Advisors, LLC",https://www.levyrealtyadvisors.com/,Commercial Real Estate,11-50 employees,"Fort Lauderdale, FL",Privately Held,1977,"Commercial, Industrial and Warehouse Leasing, Commercial Real Estate, Real Estate, Industrial Real Estate, Commercial Real Estate Investing, Real Estate Brokerage, and Real Estate Investing","Levy Realty Advisors,LLC, established in 1977, is well known in the South Florida area for it's expert advice in the Commercial and Industrial Real Estate industry.
 
Founded in 1977, Levy Realty Advisors, LLC (LRA) as a long standing member at the Fort Lauderdale Association of Realtors, The Society of Commercial Realtors and CIREBA, has established itself throughout Greater Fort Lauderdale, Broward County, up to and including South Palm Beach County as one of South Florida's most respected independent Commercial - Industrial real estate companies. 

Alan Levy, Broker/President, and his company specialize in the Sale, Property Management and Leasing of Multi-Tenant Commercial and Industrial Properties with emphasis in Office/Warehouse, Warehouse complexes and Office buildings. Levy Realty Advisors, Inc. is a family owned firm heavily entrenched in Property Management and Leasing. Levy Realty Advisors, Inc. is currently providing Property Management and Leasing Services for approximately 2,072,000 sq.ft. of buildings. The present staff consists of a Certified Property Manager (CPM) with 24 years experience, four (4) other additional Property Managers that have each been with the firm for more than 8 years, a Director of Leasing with 28 years of experience, and a support team of highly trained accounting and administrative assistants and a Property Maintenance Department staffed by five (5) full time employees.

In addition to Property Management, Sales and Leasing, Alan Levy offers Advisory, Consulting, Due Deligence, Investment Analysis, Valuation and Tax Reduction Services to the company's existing clientele, and has served as a Court Appointed Receiver and Expert Witness on many occasions.

If you are considering a broker to handle the management, lease or disposition of your real estate assets, then please call upon us for a free consultation on any matter.",
Carolina Mornings Luxury Vacation Rentals,http://www.carolinamornings.com/?nck=linkedin,Real Estate,11-50 employees,"Asheville, NC",Privately Held,1997,"Vacation Rentals, Property Management, Second Home Care Management ""Lock and Go""​, Luxury Home Management, Cabin Rentals, Reservation Services, Vacation Rental Marketing, Vacation Rental Housekeeping, Vacation Rental Maintenance, and Concierge Services","A leader of excellence in luxury-mountain living, Carolina Mornings has a much sought after selection of the finest vacation home rentals in the Asheville, NC area. Whether you choose to stay in a captivating Blue Ridge Mountain chalet, a Smoky Mountain log cabin, an elegant downtown loft or a luxury vacation villa located at the center of Historic Biltmore Village, you will be showered with free exclusive activities, personal attention, exceptional service and superior amenities. Our vacation rentals offer spectacular mountain views, hot tubs, fireplaces, wireless Internet, pool tables and more. We are also proud to offer a wide selection of extended stay accommodations and pet friendly rentals.

Carolina Mornings is truly your best choice for upscale  Asheville, NC mountain cabin rentals. We represent upscale vacation rentals near  Biltmore Estate as well!  Make all your vacation rental reservations online or with one toll-free call to (800) 770-9055.",
INF Associates,http://www.infassociates.com/,Facilities Services,11-50 employees,"New York, NY",Public Company,N/A,"Energy Efficiency, Energy Rebates, LED Lighting, and Mechanical Systems Upgrades","A national turnkey energy services company specializing in facility energy management, providing solutions in consulting & on-site energy management, tenant space evaluations, lighting and advanced controls, EV charging software and equipment infrastructure, and utility rebate management. We are well-versed in the numerous state funding programs that significantly reduce the net cost of these energy projects to owners and property managers, to help reduce carbon emissions of their facilities.  

Our focus has always been on providing the best solutions in collaboration with building owners and property managers.",
Community Investment Corporation,http://www.cicchicago.com,Financial Services,11-50 employees,"Chicago, IL",Nonprofit,1984,N/A,"COMMUNITY INVESTMENT CORPORATION, Chicago's Multifamily Rehab Lender, is a nonprofit providing mortgage financing to buy and rehab apartment buildings with five units or more in the 6-county metropolitan Chicago area. Since 1999 over 14,000 landlords and managers have completed CIC property management training to help them better market, manage and maintain affordable rental property. CIC also provides below-market financing for multifamily energy improvements in the Energy Savers program. 

Since 1984 CIC has loaned over $1.2 billion for acquisition and rehab of over 2,200 buildings with 58,000 units. In 2012 CIC received the MacArthur Award for Creative and Effective Institutions.",
Island Realty,http://www.islandrealty.com/?NCK=LinkedIN,"Leisure, Travel & Tourism",11-50 employees,"Isle of Palms, SC",Privately Held,1977,"Vacation Rentals, Long Term Rentals, HOA and Regime Management, Property Management, and Real Estate","Established in 1977, Island Realty is the oldest family owned and operated full-service property management company on Isle of Palms. We are proud of our rich history, and believe our longevity has played an integral role in forming close relationships with the islands and surrounding community for over 40 years. Our mission is to exceed expectations by delivering innovative, professional, property services.

We manage a diverse portfolio of vacation rentals on Isle of Palms, Wild Dunes, and Sullivan's Island, ranging from one-bedroom Sea Cabins to large oceanfront homes Island Realty's Long-Term Rentals Department manages a similar quantity of properties throughout Charleston, Berkeley, and Dorchester counties, offering six-month to one-year leases for properties varying in size and location. 

In addition to rentals, Island Realty is comprised of Isle Clean It and Isle Fix It, our comprehensive housekeeping and maintenance departments, which are housed in Mt. Pleasant. Isle Clean It and Isle Fix It provide property services to each business division and private homes.

With around 10,000 reservations a year, our expert team collectively works together to maintain a successful business. We ensure each outlet and form of communication is being utilized. We focus on an overall positive view on our company and guest experience. Our main focus is our guests – we conquer high demand with our in-house call center and web inquires. Staying up to date with the latest technology and marketing technique makes us industry leaders.

Thank you for your interest in the Island Realty family!",
Coughlin Insurance Services,http://www.coughlinis.com,Insurance,11-50 employees,"Larchmont, NY",Privately Held,1947,Personal insurance and Business Insurance,"Insurance and Risk Management Professionals
since 1947 
Since 1947, Coughlin Insurance Services has worked with thousands of clients, and over the years we have learned that each one has very different needs. They own different assets, they live different lifestyles, and they own different companies. They all have very different risks. 

At the Coughlin Insurance Services, we believe insurance is more than writing policies. It’s about knowing our clients, understanding their exposures and concerns, and making 
the right recommendations. It’s about managing risk. We create specific programs that protect our client’s assets and their livelihoods. 

We have teams of specialists who focus on various areas, including property and casualty, professional liability, estate planning, asset management, life, health, long term care, and disability. Given their expertise in each area, these specialists can ask the right questions to help decipher potential risks. 

If you are someone who needs a higher level of protection and service, think of Coughlin Insurance Services…Insurance Risk Managers for those who demand the very best.",
